epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
114,604.71,0.7141,0.35115,0.00561,0.84169,0.80418,0.86881,0.60595,1.31773,0.6618,0.00899,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,609.976,0.71496,0.36336,0.00568,0.84022,0.79049,0.85215,0.58195,1.40244,0.71981,0.00968,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,615.261,0.70999,0.3526,0.00551,0.85859,0.8022,0.86242,0.59321,1.3668,0.68439,0.00893,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,620.518,0.71198,0.35374,0.00559,0.86837,0.82132,0.87767,0.59862,1.35138,0.6571,0.00908,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,625.812,0.70418,0.357,0.00557,0.88919,0.79078,0.86828,0.59535,1.38375,0.63625,0.00932,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,631.061,0.70794,0.35923,0.00559,0.8638,0.79443,0.85485,0.58158,1.43476,0.65626,0.00985,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,636.326,0.69895,0.34929,0.00547,0.87801,0.85486,0.9084,0.59685,1.44263,0.63908,0.01,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,641.581,0.69893,0.35325,0.00544,0.87943,0.84056,0.9058,0.6207,1.30217,0.62689,0.00882,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,646.847,0.69949,0.34453,0.00542,0.86458,0.83149,0.88402,0.61536,1.30375,0.69413,0.0086,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,652.105,0.69513,0.34884,0.0054,0.86445,0.81148,0.87172,0.60982,1.32564,0.77512,0.00883,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,657.372,0.69375,0.34531,0.00538,0.87618,0.82074,0.89356,0.61799,1.30037,0.70724,0.00849,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,662.661,0.69256,0.33517,0.00533,0.89643,0.80607,0.87098,0.59688,1.37977,0.69373,0.00945,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,667.925,0.67936,0.34009,0.00527,0.89264,0.83488,0.89168,0.62056,1.31017,0.7178,0.00871,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,673.18,0.67872,0.33157,0.00522,0.87655,0.80293,0.89217,0.62115,1.29866,0.71336,0.00828,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
