epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,588.246,0.82847,0.4009,0.00593,0.88407,0.84615,0.90895,0.63903,1.08177,0.56182,0.00731,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,595.967,0.81668,0.38626,0.0059,0.90084,0.86492,0.92025,0.6283,1.10517,0.54952,0.00778,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,603.692,0.81577,0.38263,0.00585,0.91616,0.82919,0.91304,0.62872,1.0804,0.54879,0.0075,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,611.417,0.82098,0.38755,0.00581,0.86353,0.83518,0.90042,0.63291,1.08063,0.60699,0.00787,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,619.134,0.8073,0.3809,0.00585,0.88896,0.84341,0.91619,0.63675,1.10584,0.53391,0.0076,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,626.846,0.80936,0.37787,0.00567,0.90498,0.83269,0.90164,0.60085,1.15095,0.57479,0.00809,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,634.562,0.81493,0.39414,0.00585,0.88355,0.86222,0.91476,0.62487,1.07936,0.5371,0.00745,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,642.312,0.81712,0.3866,0.00585,0.93453,0.86985,0.93265,0.63689,1.11114,0.49155,0.00758,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,650.042,0.81279,0.38474,0.0058,0.93207,0.83535,0.91095,0.6346,1.11136,0.55299,0.00776,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,657.755,0.80257,0.38047,0.0057,0.89028,0.86122,0.9143,0.63457,1.09661,0.54626,0.00735,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,665.474,0.80639,0.3785,0.0058,0.90425,0.87041,0.89941,0.63362,1.14436,0.52459,0.00833,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,673.163,0.79597,0.36953,0.00565,0.92909,0.86943,0.92763,0.64209,1.08045,0.5087,0.00749,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,680.9,0.79397,0.37105,0.00566,0.90343,0.86103,0.92429,0.64298,1.08825,0.54704,0.00766,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,688.603,0.79011,0.38244,0.00572,0.92935,0.85746,0.92229,0.63665,1.07427,0.5115,0.00738,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,696.307,0.78393,0.37799,0.00561,0.91552,0.86545,0.92653,0.6455,1.04698,0.52555,0.00726,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,704.017,0.80345,0.37922,0.00567,0.88672,0.86101,0.90181,0.63898,1.07821,0.58159,0.00756,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,711.772,0.80238,0.37477,0.00572,0.91293,0.87939,0.93711,0.66177,1.06407,0.54641,0.00749,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,719.504,0.80088,0.37806,0.00569,0.87445,0.8657,0.91995,0.65244,1.05347,0.58317,0.00708,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,727.207,0.79483,0.37399,0.0057,0.88667,0.85951,0.92396,0.65515,1.06053,0.5452,0.00713,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,734.909,0.7928,0.36822,0.00563,0.92571,0.84939,0.91384,0.64325,1.10363,0.57313,0.00774,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,742.631,0.78205,0.36275,0.00552,0.92938,0.85496,0.93391,0.64833,1.09236,0.50498,0.00771,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,750.228,0.77899,0.35566,0.00547,0.918,0.87754,0.92695,0.64559,1.07665,0.53758,0.00725,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,757.955,0.76558,0.35015,0.0054,0.9259,0.86993,0.92225,0.65571,1.04893,0.50024,0.00707,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,765.73,0.77489,0.36444,0.00546,0.89508,0.8884,0.92431,0.6505,1.05989,0.49144,0.00721,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,773.449,0.779,0.36644,0.00551,0.91321,0.86548,0.93101,0.65801,1.04337,0.51014,0.00726,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,781.159,0.76916,0.35878,0.00545,0.89863,0.87064,0.90687,0.62404,1.12859,0.52976,0.00788,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,788.933,0.77761,0.36995,0.00546,0.90643,0.89452,0.93476,0.67521,1.02062,0.48313,0.00695,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,796.655,0.76554,0.36186,0.00539,0.92273,0.87857,0.93438,0.64706,1.04832,0.48283,0.00722,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,804.358,0.76592,0.35854,0.00543,0.90304,0.87276,0.9284,0.66247,1.03552,0.47832,0.00693,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,812.094,0.76274,0.35583,0.00541,0.90556,0.88957,0.9332,0.66401,1.02362,0.49093,0.00697,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,819.862,0.76372,0.36062,0.00538,0.89645,0.84207,0.90185,0.64074,1.03967,0.61409,0.00706,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,827.6,0.7518,0.35104,0.00531,0.93804,0.88375,0.941,0.67056,1.02409,0.45537,0.00679,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,835.315,0.76365,0.35489,0.00532,0.91294,0.8966,0.94086,0.66829,1.03974,0.47775,0.00694,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,843.053,0.75612,0.35571,0.00526,0.88374,0.87441,0.91719,0.66257,1.02819,0.53205,0.00692,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,850.771,0.74905,0.35312,0.00519,0.89908,0.87616,0.91984,0.65935,1.04629,0.52585,0.00718,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,858.484,0.74542,0.34314,0.00521,0.92693,0.85782,0.92154,0.65675,1.07196,0.53707,0.00742,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,866.237,0.74116,0.34425,0.00522,0.91723,0.85961,0.92057,0.66239,1.04053,0.51221,0.00698,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,873.98,0.74642,0.33868,0.00515,0.92826,0.87913,0.93419,0.66353,1.03948,0.50099,0.00687,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,881.715,0.74279,0.35093,0.00533,0.94571,0.90425,0.9456,0.66916,1.01944,0.44314,0.00682,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,889.462,0.74429,0.35188,0.00522,0.95939,0.89552,0.94552,0.6645,1.04969,0.43845,0.00711,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,897.174,0.74579,0.34399,0.00516,0.91353,0.86771,0.9256,0.65678,1.04912,0.49376,0.00699,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
